"Height/Width","40.00","60.00","75.00","90.00","105.00","120.00","135.00","150.00","165.00","180.00","195.00","210.00","225.00","240.00",
"120.00","22.25","28.19","33.77","39.11","43.73","48.95","54.13","59.38","64.57","70.19","77.92","88.06","100.82","109.24",
"180.00","29.84","34.21","41.82","50.04","58.36","66.51","72.82","79.12","86.23","95.26","109.25","119.16","132.64","136.50",
"240.00","35.86","42.43","50.13","60.14","69.19","79.41","87.85","97.27","106.30","115.31","127.81","142.37","153.81","163.75",
"270.00","43.03","50.90","60.18","72.16","83.02","95.30","105.41","116.72","127.56","138.38","148.49","162.83","177.17","191.55",
